filename;classification
20240414_014000_2.wav;achtergrond
20240414_014000_4.wav;achtergrond
20240414_015000_2.wav;achtergrond
20240414_015000_4.wav;achtergrond
20240414_015000_6.wav;achtergrond
20240414_025000_2.wav;achtergrond
20240414_045000_1.wav;achtergrond
20240414_052000_2.wav;achtergrond
20240414_052000_4.wav;achtergrond
20240414_053000_2.wav;achtergrond
20240414_053000_4.wav;achtergrond
20240414_054000_2.wav;achtergrond
20240414_054000_4.wav;achtergrond
20240414_054000_6.wav;achtergrond
20240414_055000_2.wav;achtergrond
20240414_055000_4.wav;achtergrond
20240414_061000_2.wav;achtergrond
20240414_061000_4.wav;achtergrond
20240414_061000_6.wav;achtergrond
20240414_062000_2.wav;achtergrond
20240414_062000_4.wav;achtergrond
20240414_062000_6.wav;achtergrond
20240414_063000_2.wav;achtergrond
20240414_064000_2.wav;achtergrond
20240414_064000_4.wav;achtergrond
20240414_064000_6.wav;achtergrond
20240414_090000_2.wav;achtergrond
20240414_110000_1.wav;achtergrond
20240417_052000_1.wav;achtergrond
20240417_052000_3.wav;achtergrond
20240417_052000_5.wav;achtergrond
20240417_054000_1.wav;achtergrond
20240417_054000_3.wav;achtergrond
20240417_054000_5.wav;achtergrond
20240417_055000_1.wav;achtergrond
20240417_055000_3.wav;achtergrond
20240417_055000_5.wav;achtergrond
20240417_060000_1.wav;achtergrond
20240417_060000_3.wav;achtergrond
20240417_080000_2.wav;achtergrond
20240417_090000_1.wav;achtergrond
20240417_090000_3.wav;achtergrond
20240417_090000_5.wav;achtergrond
20240417_120000_2.wav;achtergrond
20240417_120000_4.wav;achtergrond
20240417_131000_1.wav;achtergrond
20240417_131000_3.wav;achtergrond
20240417_140000_2.wav;achtergrond
20240417_140000_4.wav;achtergrond
20240417_140000_6.wav;achtergrond
20240417_150000_2.wav;achtergrond
20240417_150000_4.wav;achtergrond
20240417_150000_6.wav;achtergrond
20240417_160000_2.wav;achtergrond
20240417_160000_4.wav;achtergrond
20240417_193000_2.wav;achtergrond
20240417_193000_4.wav;achtergrond
20240417_193000_6.wav;achtergrond
20240417_200000_1.wav;achtergrond
20240417_200000_3.wav;achtergrond
20240417_210000_2.wav;achtergrond
20240417_210000_4.wav;achtergrond
20240417_211000_1.wav;achtergrond
20240417_211000_3.wav;achtergrond
20240417_213000_1.wav;achtergrond
20240417_213000_3.wav;achtergrond
20240417_214000_1.wav;achtergrond
20240417_214000_3.wav;achtergrond
20240417_221000_1.wav;achtergrond
20240417_222000_1.wav;achtergrond
20240417_222000_3.wav;achtergrond
20240417_223000_1.wav;achtergrond
20240417_223000_3.wav;achtergrond
20240417_225000_2.wav;achtergrond
20240417_225000_4.wav;achtergrond
20240417_225000_6.wav;achtergrond
20240417_230000_2.wav;achtergrond
20240417_230000_4.wav;achtergrond
20240417_230000_6.wav;achtergrond
20240417_231000_2.wav;achtergrond
20240417_231000_4.wav;achtergrond
20240417_231000_6.wav;achtergrond
20240417_232000_2.wav;achtergrond
20240417_232000_4.wav;achtergrond
20240417_232000_6.wav;achtergrond
20240417_233000_2.wav;achtergrond
20240417_233000_4.wav;achtergrond
20240417_233000_6.wav;achtergrond
